step,object,x,y,zoom,page,question,answer,layer1_button,layer1_content,layer2_button,layer2_content
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,boton1,contenido1,boton2,contenido2
1,philippines-map,0.49498271775298125,0.48663875824831193,0.9044999999999999,1,Why were the Spanish in the Philippines?,"In 1521, the same year the Spanish captured the Mexica capital of Tenochtitlán, the Portuguese captain Ferdinand Magellan led the first group of Europeans across the Pacific Ocean, hoping to provide the monarchy with direct access to the Asian spices that had made the Portuguese monarchy so wealthy whilst avoiding conflict with that crown by navigating from the opposite direction.",Learn more,the-spanish-in-portuguese-navigations.md,Go deeper,the-spanish-in-iberian-rivalries.md
2,philippines-map,0.5993278227702047,0.5643097909651891,3.1073671497584545,1,Where did the Spanish land?,Indigenous town of Cebu in April 1565. They had arrived in the Philippines the previous month.,,,,
